texte,individu,lieu,moment
"Sans dire un mot, Benjamin Fischer fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement .",Benjamin Fischer,,tard dans la soirée
"Guy Martin-Cohen s’accroupit pour observer quelque chose au sol, l’air perplexe sans attirer l’attention à avenue Lorraine Mallet, 91284 Saint Colette-sur-Mer.",Guy Martin-Cohen,"avenue Lorraine Mallet, 91284 Saint Colette-sur-Mer",tard dans la soirée
"Sans dire un mot, le gardien du stade fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement dans une route de campagne.",le gardien du stade,une route de campagne,
"laissa tomber un trousseau de clés sans s’en apercevoir, ce fut tout ce qu’on vit de une silhouette encapuchonnée.",une silhouette encapuchonnée,un arrêt de bus,le Monday 20 November 2017 à 15h04
"Dans le silence, Margot Roussel-Alexandre laissa tomber un trousseau de clés sans s’en apercevoir dans la plage.",Margot Roussel-Alexandre,la plage,
tapota un lampadaire de la paume comme pour vérifier sa solidité. C’était le Saturday 28 September 2024 à 20h09.,,,le Saturday 28 September 2024 à 20h09
"Juliette Leleu du Dupont fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement. C’était en pleine nuit.",Juliette Leleu du Dupont,"25, chemin Lagarde, 53795 Guilbert",en pleine nuit
"Agathe Le Leleu à 3, chemin de Rousseau, 64801 Baron-la-Forêt, le Saturday 21 November 2020 à 03h13, poussa un cri bref avant de disparaître entre deux voitures.",Agathe Le Leleu,"3, chemin de Rousseau, 64801 Baron-la-Forêt",le Saturday 21 November 2020 à 03h13
"tourna plusieurs fois sur lui-même avant de fixer longuement un arbre, ce fut tout ce qu’on vit de Élise Perret-Humbert.",Élise Perret-Humbert,,
"laissa tomber un trousseau de clés sans s’en apercevoir, ce fut tout ce qu’on vit de .",,,juste après le coucher du soleil
"à rue Roland Masse, 78274 Saint Capucinenec, , s’accroupit pour observer quelque chose au sol, l’air perplexe.",,"rue Roland Masse, 78274 Saint Capucinenec",
"ouvrit un sac en plastique et en sortit une petite boîte en métal, ce fut tout ce qu’on vit de .",,un café du coin,en début d'après-midi
"fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement. C’était le Tuesday 11 May 2021 à 10h13.",,un café du coin,le Tuesday 11 May 2021 à 10h13
"Sans dire un mot, le livreur en retard s’effaça dans l’ombre d’un porche sans prononcer un mot à 93, rue Robert, 03850 Martin.",le livreur en retard,"93, rue Robert, 03850 Martin",un matin d'hiver
"poussa un cri bref avant de disparaître entre deux voitures, ce fut tout ce qu’on vit de .",,,le Saturday 03 April 2021 à 04h28
"déploya un petit tapis sur le sol et s’assit en tailleur, ce fut tout ce qu’on vit de Émilie Cousin-Lenoir.",Émilie Cousin-Lenoir,"12, rue de Wagner, 91456 Saint Léon",
"Nul ne sut pourquoi Laurent Joubert s’accroupit pour observer quelque chose au sol, l’air perplexe, le Friday 20 September 2024 à 06h39.",Laurent Joubert,la cour d’une école,le Friday 20 September 2024 à 06h39
"Océane-Constance Chevallier fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement sans attirer l’attention dans un parc désert.",Océane-Constance Chevallier,un parc désert,tard dans la soirée
"juste après le coucher du soleil, une passante inconnue s’accroupit pour observer quelque chose au sol, l’air perplexe.",une passante inconnue,"730, boulevard Martineau, 38452 Maurynec",juste après le coucher du soleil
"Sans dire un mot, Suzanne Garcia de la Gimenez tapota un lampadaire de la paume comme pour vérifier sa solidité à rue Collet, 32114 Lemairenec.",Suzanne Garcia de la Gimenez,"rue Collet, 32114 Lemairenec",le Saturday 23 November 2019 à 01h42
"Célina Georges , , tourna plusieurs fois sur lui-même avant de fixer longuement un arbre.",Célina Georges,,
", Véronique de Marchal fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement.",Véronique de Marchal,un café du coin,
"À cet instant précis, Julien Maury jeta un coup d’œil inquiet derrière lui, puis pressa le pas .",Julien Maury,,le Wednesday 03 February 2021 à 09h07
"tapota un lampadaire de la paume comme pour vérifier sa solidité, ce fut tout ce qu’on vit de Édith Étienne.",Édith Étienne,,
Astrid Colas tapota un lampadaire de la paume comme pour vérifier sa solidité.,Astrid Colas,"5, chemin Chauvet, 92703 Pottier",le Tuesday 25 June 2019 à 14h18
le pharmacien de garde laissa tomber un trousseau de clés sans s’en apercevoir.,le pharmacien de garde,"16, rue Morin, 36890 Saint Sylvie",en pleine nuit
"s’effaça dans l’ombre d’un porche sans prononcer un mot sans attirer l’attention à 8, rue Thibaut Dias, 33797 Gay-les-Bains.",,"8, rue Thibaut Dias, 33797 Gay-les-Bains",le Monday 10 June 2019 à 05h11
"Michelle Simon fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement. C’était le Monday 20 September 2021 à 04h27.",Michelle Simon,,le Monday 20 September 2021 à 04h27
"Nul ne sut pourquoi Inès Marchand de Fernandez s’effaça dans l’ombre d’un porche sans prononcer un mot, au lever du jour.",Inès Marchand de Fernandez,le bord d’un canal,au lever du jour
"Sans dire un mot, Martin Boutin ouvrit un sac en plastique et en sortit une petite boîte en métal à 3, avenue Grégoire Lombard, 74489 Sainte Eugène.",Martin Boutin,"3, avenue Grégoire Lombard, 74489 Sainte Eugène",vers l’heure bleue
"Dans le silence, Susanne Lefort tourna plusieurs fois sur lui-même avant de fixer longuement un arbre dans le bord d’un canal.",Susanne Lefort,le bord d’un canal,
"Nul ne sut pourquoi Éléonore du Garcia s’effaça dans l’ombre d’un porche sans prononcer un mot, le Saturday 16 November 2024 à 09h45.",Éléonore du Garcia,"12, rue de Léger, 15265 Mallet",le Saturday 16 November 2024 à 09h45
Augustin Lenoir de Samson tapota un lampadaire de la paume comme pour vérifier sa solidité.,Augustin Lenoir de Samson,une route de campagne,à la sortie des bureaux
"À cet instant précis, une silhouette encapuchonnée laissa tomber un trousseau de clés sans s’en apercevoir à 16, chemin Lambert, 87297 Barbe.",une silhouette encapuchonnée,"16, chemin Lambert, 87297 Barbe",le Wednesday 04 September 2019 à 07h17
"Michèle-Christine Legrand à chemin Marie, 72380 Delattre, le Sunday 18 September 2016 à 13h16, déploya un petit tapis sur le sol et s’assit en tailleur.",Michèle-Christine Legrand,"chemin Marie, 72380 Delattre",le Sunday 18 September 2016 à 13h16
"Sans dire un mot, la vieille dame au chapeau rouge fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement dans la plage.",la vieille dame au chapeau rouge,la plage,au lever du jour
"laissa tomber un trousseau de clés sans s’en apercevoir, ce fut tout ce qu’on vit de un homme à la veste usée.",un homme à la veste usée,"40, boulevard de Delaunay, 86803 Besnard",au lever du jour
"Dans le silence, un agent municipal laissa tomber un trousseau de clés sans s’en apercevoir dans la gare centrale.",un agent municipal,la gare centrale,le Thursday 17 April 2025 à 15h12
"À cet instant précis, Maryse Daniel fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement à 59, rue Cécile Roger, 32901 DufourVille.",Maryse Daniel,"59, rue Cécile Roger, 32901 DufourVille",le Sunday 21 April 2024 à 19h56
"Nul ne sut pourquoi Margaux de Jacques fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement, .",Margaux de Jacques,,
"Susanne Charpentier s’accroupit pour observer quelque chose au sol, l’air perplexe. C’était le Saturday 24 April 2021 à 06h27.",Susanne Charpentier,"2, avenue Gabriel Collin, 79473 Cordier-la-Forêt",le Saturday 24 April 2021 à 06h27
la vieille dame au chapeau rouge laissa tomber un trousseau de clés sans s’en apercevoir sans attirer l’attention .,la vieille dame au chapeau rouge,,
"À cet instant précis, Xavier Letellier s’effaça dans l’ombre d’un porche sans prononcer un mot dans un arrêt de bus.",Xavier Letellier,un arrêt de bus,en début d'après-midi
"Patrick Collet dans la cour d’une école, , jeta un coup d’œil inquiet derrière lui, puis pressa le pas.",Patrick Collet,la cour d’une école,
"Éléonore Sanchez , le Thursday 16 June 2022 à 08h07, s’effaça dans l’ombre d’un porche sans prononcer un mot.",Éléonore Sanchez,,le Thursday 16 June 2022 à 08h07
"Nul ne sut pourquoi Richard Maillet poussa un cri bref avant de disparaître entre deux voitures, le Sunday 24 March 2019 à 20h21.",Richard Maillet,"527, boulevard Henry, 99537 De OliveiraVille",le Sunday 24 March 2019 à 20h21
"À cet instant précis, un agent municipal tourna plusieurs fois sur lui-même avant de fixer longuement un arbre dans une route de campagne.",un agent municipal,une route de campagne,le Friday 13 January 2023 à 07h22
Claudine Guyot-Morin déploya un petit tapis sur le sol et s’assit en tailleur sans attirer l’attention .,Claudine Guyot-Morin,,le Monday 06 April 2020 à 10h50
Océane Dos Santos du Da Costa tourna plusieurs fois sur lui-même avant de fixer longuement un arbre sans attirer l’attention dans la cour d’une école.,Océane Dos Santos du Da Costa,la cour d’une école,en pleine nuit
"Dans le silence, tapota un lampadaire de la paume comme pour vérifier sa solidité à 94, avenue Carre, 17158 Saint Suzanne-les-Bains.",,"94, avenue Carre, 17158 Saint Suzanne-les-Bains",un matin d'hiver
la vieille dame au chapeau rouge ouvrit un sac en plastique et en sortit une petite boîte en métal. C’était .,la vieille dame au chapeau rouge,"63, chemin Théodore Carpentier, 80157 Clerc",
"À cet instant précis, Édouard Blanchard tapota un lampadaire de la paume comme pour vérifier sa solidité .",Édouard Blanchard,,au lever du jour
"la responsable du centre d'accueil s’accroupit pour observer quelque chose au sol, l’air perplexe sans attirer l’attention dans la plage.",la responsable du centre d'accueil,la plage,un dimanche pluvieux
"À cet instant précis, le chauffeur du bus 38 poussa un cri bref avant de disparaître entre deux voitures dans la plage.",le chauffeur du bus 38,la plage,un matin d'hiver
"jeta un coup d’œil inquiet derrière lui, puis pressa le pas, ce fut tout ce qu’on vit de Valentine Daniel de Lebreton.",Valentine Daniel de Lebreton,le bord d’un canal,vers l’heure bleue
une silhouette encapuchonnée tapota un lampadaire de la paume comme pour vérifier sa solidité. C’était au lever du jour.,une silhouette encapuchonnée,le vieux marché,au lever du jour
"Gilles Mace , au lever du jour, s’effaça dans l’ombre d’un porche sans prononcer un mot.",Gilles Mace,,au lever du jour
"Juliette Payet jeta un coup d’œil inquiet derrière lui, puis pressa le pas sans attirer l’attention à 65, chemin de Lacombe, 96475 Dijoux-sur-Lebreton.",Juliette Payet,"65, chemin de Lacombe, 96475 Dijoux-sur-Lebreton",tard dans la soirée
laissa tomber un trousseau de clés sans s’en apercevoir.,,la cour d’une école,un dimanche pluvieux
", , s’accroupit pour observer quelque chose au sol, l’air perplexe.",,,
"Robert Perrot , un matin d'hiver, tapota un lampadaire de la paume comme pour vérifier sa solidité.",Robert Perrot,,un matin d'hiver
"Dans le silence, tapota un lampadaire de la paume comme pour vérifier sa solidité à avenue de Dijoux, 63926 Texier.",,"avenue de Dijoux, 63926 Texier",
"en pleine nuit, le gardien du stade jeta un coup d’œil inquiet derrière lui, puis pressa le pas.",le gardien du stade,une route de campagne,en pleine nuit
"Dans le silence, le gardien du stade poussa un cri bref avant de disparaître entre deux voitures dans un café du coin.",le gardien du stade,un café du coin,
"À cet instant précis, Julien Vallée de Julien s’effaça dans l’ombre d’un porche sans prononcer un mot à 87, boulevard Thibault Cousin, 63453 Pinto.",Julien Vallée de Julien,"87, boulevard Thibault Cousin, 63453 Pinto",le Saturday 29 October 2022 à 13h33
Claude Marchand s’effaça dans l’ombre d’un porche sans prononcer un mot sans attirer l’attention .,Claude Marchand,,le Sunday 18 October 2020 à 13h09
"la vieille dame au chapeau rouge s’accroupit pour observer quelque chose au sol, l’air perplexe.",la vieille dame au chapeau rouge,"304, avenue Chevalier, 33228 Chauveauboeuf",le Sunday 20 February 2022 à 23h11
"Sébastien Blanchard fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement. C’était .",Sébastien Blanchard,le bord d’un canal,
"Dans le silence, Jules Mahe s’accroupit pour observer quelque chose au sol, l’air perplexe à 40, chemin de Michaud, 93279 Cordier-les-Bains.",Jules Mahe,"40, chemin de Michaud, 93279 Cordier-les-Bains",le Tuesday 20 May 2025 à 01h34
"s’accroupit pour observer quelque chose au sol, l’air perplexe, ce fut tout ce qu’on vit de une silhouette encapuchonnée.",une silhouette encapuchonnée,un café du coin,au lever du jour
"juste après le coucher du soleil, Sébastien Moreau jeta un coup d’œil inquiet derrière lui, puis pressa le pas.",Sébastien Moreau,"chemin de Bodin, 68536 Deschampsdan",juste après le coucher du soleil
tourna plusieurs fois sur lui-même avant de fixer longuement un arbre sans attirer l’attention dans la cour d’une école.,,la cour d’une école,un matin d'hiver
"s’effaça dans l’ombre d’un porche sans prononcer un mot, ce fut tout ce qu’on vit de Arthur Lefort.",Arthur Lefort,un parc désert,le Friday 16 June 2023 à 18h40
"À cet instant précis, Geneviève Fischer s’accroupit pour observer quelque chose au sol, l’air perplexe dans la cour d’une école.",Geneviève Fischer,la cour d’une école,le Thursday 30 March 2023 à 07h41
"dans une route de campagne, le Thursday 30 March 2023 à 07h41, ouvrit un sac en plastique et en sortit une petite boîte en métal.",,une route de campagne,le Thursday 30 March 2023 à 07h41
"le Tuesday 09 January 2024 à 18h16, le pharmacien de garde déploya un petit tapis sur le sol et s’assit en tailleur.",le pharmacien de garde,un café du coin,le Tuesday 09 January 2024 à 18h16
"À cet instant précis, Odette Paris jeta un coup d’œil inquiet derrière lui, puis pressa le pas dans la gare centrale.",Odette Paris,la gare centrale,un dimanche pluvieux
"Sans dire un mot, le chauffeur du bus 38 poussa un cri bref avant de disparaître entre deux voitures dans la gare centrale.",le chauffeur du bus 38,la gare centrale,juste après le coucher du soleil
"Sans dire un mot, un homme à la veste usée s’effaça dans l’ombre d’un porche sans prononcer un mot dans la cour d’une école.",un homme à la veste usée,la cour d’une école,le Sunday 14 June 2020 à 11h15
"Sans dire un mot, la vieille dame au chapeau rouge déploya un petit tapis sur le sol et s’assit en tailleur à boulevard Gautier, 44389 Laporte-sur-Vidal.",la vieille dame au chapeau rouge,"boulevard Gautier, 44389 Laporte-sur-Vidal",le Friday 04 November 2022 à 11h20
"Dans le silence, le livreur en retard tourna plusieurs fois sur lui-même avant de fixer longuement un arbre dans un arrêt de bus.",le livreur en retard,un arrêt de bus,pendant la pause déjeuner
le pharmacien de garde tourna plusieurs fois sur lui-même avant de fixer longuement un arbre sans attirer l’attention .,le pharmacien de garde,,
"Dans le silence, laissa tomber un trousseau de clés sans s’en apercevoir dans le hall d’un immeuble.",,le hall d’un immeuble,en début d'après-midi
"jeta un coup d’œil inquiet derrière lui, puis pressa le pas, ce fut tout ce qu’on vit de .",,"38, chemin de Besson, 42867 Carlier-sur-Pierre",
"À cet instant précis, Michel Picard tourna plusieurs fois sur lui-même avant de fixer longuement un arbre dans la plage.",Michel Picard,la plage,le Monday 07 March 2022 à 17h26
ouvrit un sac en plastique et en sortit une petite boîte en métal.,,"9, avenue Chevallier, 64413 Lacroix",en début d'après-midi
"Nul ne sut pourquoi Daniel Le Lelièvre poussa un cri bref avant de disparaître entre deux voitures, le Friday 09 October 2015 à 22h14.",Daniel Le Lelièvre,"11, avenue de Foucher, 34362 Baron-sur-Laporte",le Friday 09 October 2015 à 22h14
"Sans dire un mot, Philippe Goncalves s’effaça dans l’ombre d’un porche sans prononcer un mot dans la plage.",Philippe Goncalves,la plage,en pleine nuit
"jeta un coup d’œil inquiet derrière lui, puis pressa le pas, ce fut tout ce qu’on vit de Marguerite Mace-Guyot.",Marguerite Mace-Guyot,une route de campagne,vers l’heure bleue
"Nul ne sut pourquoi une passante inconnue déploya un petit tapis sur le sol et s’assit en tailleur, au lever du jour.",une passante inconnue,"rue Brunet, 85566 Sainte Clémence",au lever du jour
"Nul ne sut pourquoi Antoine Blanc tapota un lampadaire de la paume comme pour vérifier sa solidité, .",Antoine Blanc,la cour d’une école,
"Nul ne sut pourquoi Édith Renard s’effaça dans l’ombre d’un porche sans prononcer un mot, le Wednesday 27 April 2022 à 00h31.",Édith Renard,la plage,le Wednesday 27 April 2022 à 00h31
"À cet instant précis, Maurice-Georges Robin jeta un coup d’œil inquiet derrière lui, puis pressa le pas dans le vieux marché.",Maurice-Georges Robin,le vieux marché,le Saturday 27 April 2024 à 11h46
"une silhouette encapuchonnée dans la gare centrale, , poussa un cri bref avant de disparaître entre deux voitures.",une silhouette encapuchonnée,la gare centrale,
"Marc Legrand fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement.",Marc Legrand,"57, chemin de Rémy, 98628 Gomes-sur-Robert",au lever du jour
"À cet instant précis, le chauffeur du bus 38 déploya un petit tapis sur le sol et s’assit en tailleur dans le hall d’un immeuble.",le chauffeur du bus 38,le hall d’un immeuble,le Tuesday 26 July 2022 à 10h06
"poussa un cri bref avant de disparaître entre deux voitures, ce fut tout ce qu’on vit de Michelle Robert.",Michelle Robert,le vieux marché,
"le Monday 29 August 2022 à 14h52, Anouk Lopez fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement.",Anouk Lopez,"166, boulevard Chevallier, 87699 Bertin-les-Bains",le Monday 29 August 2022 à 14h52
"Dans le silence, Anne Robin tourna plusieurs fois sur lui-même avant de fixer longuement un arbre dans la plage.",Anne Robin,la plage,le Monday 25 November 2019 à 04h41
"s’accroupit pour observer quelque chose au sol, l’air perplexe, ce fut tout ce qu’on vit de le livreur en retard.",le livreur en retard,le bord d’un canal,le Wednesday 12 June 2024 à 12h26
poussa un cri bref avant de disparaître entre deux voitures. C’était .,,"60, avenue Gimenez, 12235 Parent",
"le livreur en retard , le Saturday 12 September 2020 à 10h20, s’effaça dans l’ombre d’un porche sans prononcer un mot.",le livreur en retard,,le Saturday 12 September 2020 à 10h20
Sébastien Guichard laissa tomber un trousseau de clés sans s’en apercevoir.,Sébastien Guichard,"9, avenue Maurice Blondel, 55779 Saint Brigitte",le Monday 08 August 2016 à 00h05
"À cet instant précis, Thibault Colin poussa un cri bref avant de disparaître entre deux voitures dans le hall d’un immeuble.",Thibault Colin,le hall d’un immeuble,le Tuesday 30 June 2020 à 05h22
"le gardien du stade à 1, rue Charlotte Monnier, 04896 Delaunay, , déploya un petit tapis sur le sol et s’assit en tailleur.",le gardien du stade,"1, rue Charlotte Monnier, 04896 Delaunay",
"Sans dire un mot, Catherine Descamps laissa tomber un trousseau de clés sans s’en apercevoir dans le vieux marché.",Catherine Descamps,le vieux marché,
"poussa un cri bref avant de disparaître entre deux voitures, ce fut tout ce qu’on vit de Hugues Lemoine.",Hugues Lemoine,le bord d’un canal,à la sortie des bureaux
"Dans le silence, Audrey Letellier tapota un lampadaire de la paume comme pour vérifier sa solidité dans la cour d’une école.",Audrey Letellier,la cour d’une école,
Jules Dumas ouvrit un sac en plastique et en sortit une petite boîte en métal. C’était .,Jules Dumas,"63, rue David, 62776 Lebreton",
Anastasie Colas déploya un petit tapis sur le sol et s’assit en tailleur.,Anastasie Colas,"16, chemin de Paris, 90797 Girauddan",à la sortie des bureaux
"Dans le silence, jeta un coup d’œil inquiet derrière lui, puis pressa le pas dans la plage.",,la plage,juste après le coucher du soleil
"tourna plusieurs fois sur lui-même avant de fixer longuement un arbre, ce fut tout ce qu’on vit de un homme à la veste usée.",un homme à la veste usée,"440, rue Mary, 71805 Saint ChristianeBourg",vers l’heure bleue
"Eugène Bertrand ouvrit un sac en plastique et en sortit une petite boîte en métal sans attirer l’attention à chemin de Devaux, 25639 Lucas.",Eugène Bertrand,"chemin de Devaux, 25639 Lucas",le Tuesday 05 January 2016 à 14h42
un homme à la veste usée tapota un lampadaire de la paume comme pour vérifier sa solidité.,un homme à la veste usée,la cour d’une école,
"Dans le silence, Nicolas Guérin s’accroupit pour observer quelque chose au sol, l’air perplexe à 14, rue Clerc, 66708 Sainte Alfred.",Nicolas Guérin,"14, rue Clerc, 66708 Sainte Alfred",le Saturday 23 March 2024 à 02h46
"à 4, chemin Bonneau, 01570 Rousseau-sur-Guillou, en début d'après-midi, fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement.",,"4, chemin Bonneau, 01570 Rousseau-sur-Guillou",en début d'après-midi
"Dans le silence, le livreur en retard poussa un cri bref avant de disparaître entre deux voitures dans le hall d’un immeuble.",le livreur en retard,le hall d’un immeuble,un dimanche pluvieux
"Margaux Bazin fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement. C’était tard dans la soirée.",Margaux Bazin,"8, rue Robert De Oliveira, 17295 Jacob-sur-Gomez",tard dans la soirée
"Sans dire un mot, le chauffeur du bus 38 s’effaça dans l’ombre d’un porche sans prononcer un mot à chemin Dubois, 14973 Sainte NoëlBourg.",le chauffeur du bus 38,"chemin Dubois, 14973 Sainte NoëlBourg",tard dans la soirée
"Dans le silence, Adrien Guillet poussa un cri bref avant de disparaître entre deux voitures à 69, chemin de Bazin, 36887 Lemaître.",Adrien Guillet,"69, chemin de Bazin, 36887 Lemaître",le Wednesday 21 February 2024 à 00h43
"s’effaça dans l’ombre d’un porche sans prononcer un mot, ce fut tout ce qu’on vit de un agent municipal.",un agent municipal,,
"À cet instant précis, un agent municipal tourna plusieurs fois sur lui-même avant de fixer longuement un arbre à 2, rue de Gautier, 07568 Sainte Hugues-sur-Mer.",un agent municipal,"2, rue de Gautier, 07568 Sainte Hugues-sur-Mer",juste après le coucher du soleil
"À cet instant précis, un agent municipal poussa un cri bref avant de disparaître entre deux voitures à 6, avenue Mercier, 23910 Weiss.",un agent municipal,"6, avenue Mercier, 23910 Weiss",un matin d'hiver
"Dans le silence, jeta un coup d’œil inquiet derrière lui, puis pressa le pas dans le hall d’un immeuble.",,le hall d’un immeuble,
"Victor-Benjamin Bodin à 40, avenue Dupuy, 21214 Faure-la-Forêt, vers l’heure bleue, ouvrit un sac en plastique et en sortit une petite boîte en métal.",Victor-Benjamin Bodin,"40, avenue Dupuy, 21214 Faure-la-Forêt",vers l’heure bleue
"s’accroupit pour observer quelque chose au sol, l’air perplexe.",,"110, boulevard Collet, 86203 Saint Aurélie",le Wednesday 06 February 2019 à 09h21
"laissa tomber un trousseau de clés sans s’en apercevoir, ce fut tout ce qu’on vit de Marcelle-Marguerite Rocher.",Marcelle-Marguerite Rocher,la cour d’une école,le Friday 28 March 2025 à 18h26
"Sans dire un mot, jeta un coup d’œil inquiet derrière lui, puis pressa le pas à 7, rue Paris, 08490 Blin-sur-Mer.",,"7, rue Paris, 08490 Blin-sur-Mer",tard dans la soirée
"tourna plusieurs fois sur lui-même avant de fixer longuement un arbre, ce fut tout ce qu’on vit de le gardien du stade.",le gardien du stade,"97, boulevard Rémy Martel, 29618 Saint Luc",juste après le coucher du soleil
"Dans le silence, un homme à la veste usée ouvrit un sac en plastique et en sortit une petite boîte en métal à 30, avenue Dias, 85571 Mercierdan.",un homme à la veste usée,"30, avenue Dias, 85571 Mercierdan",le Tuesday 16 August 2016 à 17h42
"Dans le silence, Gabriel Imbert de la Duhamel jeta un coup d’œil inquiet derrière lui, puis pressa le pas à 24, rue Normand, 55598 Guichard-sur-Gomez.",Gabriel Imbert de la Duhamel,"24, rue Normand, 55598 Guichard-sur-Gomez",
"Sans dire un mot, Suzanne du Allain s’effaça dans l’ombre d’un porche sans prononcer un mot à 15, avenue Grondin, 45303 Alvesnec.",Suzanne du Allain,"15, avenue Grondin, 45303 Alvesnec",au lever du jour
"tard dans la soirée, Frédérique Pasquier-Barre jeta un coup d’œil inquiet derrière lui, puis pressa le pas.",Frédérique Pasquier-Barre,"avenue de Royer, 05444 GrenierBourg",tard dans la soirée
"le pharmacien de garde ouvrit un sac en plastique et en sortit une petite boîte en métal sans attirer l’attention à rue Louis Pichon, 99205 Giraud.",le pharmacien de garde,"rue Louis Pichon, 99205 Giraud",le Thursday 27 June 2019 à 12h01
"juste après le coucher du soleil, Théophile Boucher laissa tomber un trousseau de clés sans s’en apercevoir.",Théophile Boucher,le bord d’un canal,juste après le coucher du soleil
"Noël-Bertrand Pasquier jeta un coup d’œil inquiet derrière lui, puis pressa le pas. C’était un dimanche pluvieux.",Noël-Bertrand Pasquier,,un dimanche pluvieux
"À cet instant précis, Thierry Mace jeta un coup d’œil inquiet derrière lui, puis pressa le pas dans la plage.",Thierry Mace,la plage,un matin d'hiver
"le chauffeur du bus 38 poussa un cri bref avant de disparaître entre deux voitures sans attirer l’attention à 84, chemin Jacqueline Lefèvre, 85158 Ollivier-sur-Mer.",le chauffeur du bus 38,"84, chemin Jacqueline Lefèvre, 85158 Ollivier-sur-Mer",le Thursday 24 August 2017 à 11h47
"Sans dire un mot, le gardien du stade jeta un coup d’œil inquiet derrière lui, puis pressa le pas .",le gardien du stade,,le Monday 14 December 2015 à 07h13
Claire du Renaud poussa un cri bref avant de disparaître entre deux voitures.,Claire du Renaud,le bord d’un canal,le Saturday 30 November 2019 à 08h04
"fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement. C’était le Sunday 25 November 2018 à 23h07.",,la plage,le Sunday 25 November 2018 à 23h07
"un homme à la veste usée dans un café du coin, pendant la pause déjeuner, s’effaça dans l’ombre d’un porche sans prononcer un mot.",un homme à la veste usée,un café du coin,pendant la pause déjeuner
"le chauffeur du bus 38 fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement. C’était le Saturday 26 August 2023 à 05h27.",le chauffeur du bus 38,un parc désert,le Saturday 26 August 2023 à 05h27
"le Thursday 13 April 2017 à 23h30, René Perez de la Pires s’accroupit pour observer quelque chose au sol, l’air perplexe.",René Perez de la Pires,"rue de Devaux, 54451 Delormeboeuf",le Thursday 13 April 2017 à 23h30
