evenement,lieu,moment,individus,texte
vol de téléphone portable dans les transports,Briançon,mardi 4 juillet 2023,"une connaissance, le frère","Une effraction semble avoir été perpétrée. Tout se serait déroulé autour de Briançon. mardi 4 juillet 2023 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de une connaissance, le frère est évoquée."
trace d’humidité autour d’un boîtier électrique,"113 rue de l’Égalité, Brignoles",,"un passant, la femme de Julien","Un événement troublant a eu lieu. La scène s’est produite à 113 rue de l’Égalité, Brignoles. un passant, la femme de Julien aurait été directement concerné."
coup de tête lors d’une altercation,"152 rue des Tilleuls, Barentin",17/02,un avocat,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 152 rue des Tilleuls, Barentin. Les faits datent de 17/02, d'après certaines sources. La présence de un avocat est signalée sur les lieux."
glissement d’un couvercle en métal,Morbihan,,,Un fait divers a marqué les esprits. Morbihan serait le le point de départ de l'incident.
tensions dans une file d’attente,"terrain de pétanque, Aurillac",1h et 16 minutes,le collègue de travail,"Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme terrain de pétanque, Aurillac. La période de 1h et 16 minutes est mentionnée. Des témoignages font état de le collègue de travail."
accrochage léger à un carrefour,"64 chemin Paul Bert, Barentin",2022/12/1,"une femme, une connaissance, un homme, un voisin","Un événement troublant a eu lieu. C’est dans les environs de 64 chemin Paul Bert, Barentin que les faits se sont produits. 2022/12/1 correspondrait à la période des faits. une femme, une connaissance, un homme, un voisin semble impliqué d’une manière ou d’une autre."
inscription manuscrite fraîche sur une surface lisse,Bouches-du-Rhône,05/2014,un tiers,Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent Bouches-du-Rhône comme contexte géographique. Le déroulement aurait eu lieu à 05/2014. La situation aurait impliqué un tiers.
diffusion de musique à volume excessif,Nouvelle-Aquitaine,21,Girard,"Une disparition suspecte de biens a été signalée. Les informations pointent vers Nouvelle-Aquitaine. Ce moment précis : 21, revient souvent. Girard figure dans les rapports initiaux."
torsion visible sur une grille de protection,jardin public,21,"quelqu’un, un voisin","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de jardin public. 21 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de quelqu’un, un voisin est évoquée."
vibration brève d’un sol stratifié,"17 boulevard Lavoisier, Digne-les-Bains",,,"Un événement troublant a eu lieu. La scène s’est produite à 17 boulevard Lavoisier, Digne-les-Bains."
haussement de ton entre clients,36058,6 déc. 2018,"une personne, une voisine","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 36058. Les faits datent de 6 déc. 2018, d'après certaines sources. La présence de une personne, une voisine est signalée sur les lieux."
incompréhension suivie d’une altercation,"171 boulevard Victor Hugo, Nyons",2023/12/23,"Hugo Chevalier, un résident, Mathis Muller","Un fait divers a marqué les esprits. 171 boulevard Victor Hugo, Nyons serait le le point de départ de l'incident. On évoque 2023/12/23 comme repère temporel. Hugo Chevalier, un résident, Mathis Muller a été identifié comme partie prenante."
tir en l’air à proximité d’un parc,"174 avenue Paul Bert, Chaumont",2023/07/7,"Pires, Lemoine","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme 174 avenue Paul Bert, Chaumont. La période de 2023/07/7 est mentionnée. Des témoignages font état de Pires, Lemoine."
explosion artisanale dans un hall d’immeuble,mairie,25/04/2001,"Sophie, le frère","Un événement troublant a eu lieu. C’est dans les environs de mairie que les faits se sont produits. 25/04/2001 correspondrait à la période des faits. Sophie, le frère semble impliqué d’une manière ou d’une autre."
prise à partie dans un ascenseur,boulevard du Général Leclerc,31/07/2006,un inconnu,Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent boulevard du Général Leclerc comme contexte géographique. Le déroulement aurait eu lieu à 31/07/2006. La situation aurait impliqué un inconnu.
absence de réponse d’un bouton à pression,Carpentras,,une infirmière,Un fait divers a marqué les esprits. Les informations pointent vers Carpentras. une infirmière figure dans les rapports initiaux.
acte de cruauté sur animal,Pays de la Loire,4 juillet de l’année 2013,,Un incident non élucidé a été rapporté. Tout se serait déroulé autour de la Pays de la Loire. 4 juillet de l’année 2013 : c’est ce qu’indiquent plusieurs témoignages.
tentative de cambriolage,43291,22h4,"la cousine, un ami, Fabre, Paul, Alice Renard","Un événement troublant a eu lieu. La scène s’est produite à 43291. Le moment exact reste flou, mais cela remonterait à 22h4. la cousine, un ami, Fabre, Paul, Alice Renard aurait été directement concerné."
vol à la roulotte,Chinon,22h4,le fiancé,"Un acte de vol a été commis discrètement. On localise les faits dans la zone de Chinon. Les faits datent de 22h4, d'après certaines sources. La présence de le fiancé est signalée sur les lieux."
invective entre clients d’une brocante,,dimanche,,Un fait divers a marqué les esprits. On évoque dimanche comme repère temporel.
menaces avec arme visible,Aude,27,"un employé de mairie, un suspect, un ingénieur","La présence d’un dispositif menaçant a été évoquée. Le lieu de l’incident a été identifié comme Aude. La période de 27 est mentionnée. Des témoignages font état de un employé de mairie, un suspect, un ingénieur."
heurt contre un poteau,Martinique,décembre 2016,"Lucas, un suspect","Un événement troublant a eu lieu. C’est dans les environs de Martinique que les faits se sont produits. décembre 2016 correspondrait à la période des faits. Lucas, un suspect semble impliqué d’une manière ou d’une autre."
activation d’un détecteur de mouvement sans présence visible,"109 chemin de la Paix, Louviers",,"un suspect, Paul, un médecin, la patronne, Thomas Lemoine, Lucas Girard","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent 109 chemin de la Paix, Louviers comme contexte géographique. La situation aurait impliqué un suspect, Paul, un médecin, la patronne, Thomas Lemoine, Lucas Girard."
jets de pierres sur un véhicule,Hauts-de-France,,"un avocat, le neveu","Un fait divers a marqué les esprits. Les informations pointent vers Hauts-de-France. un avocat, le neveu figure dans les rapports initiaux."
bruit de chaîne traînée sur le sol,arc de triomphe régional,jeudi,"le collègue de travail, Noël, Julien, une juge, un voisin, un journaliste, Marchand, une amie","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de arc de triomphe régional. jeudi : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de le collègue de travail, Noël, Julien, une juge, un voisin, un journaliste, Marchand, une amie est évoquée."
déverrouillage d’un accès restreint,la chambre,mars,"Dupont, le frère","Un événement troublant a eu lieu. La scène s’est produite à la chambre. Le moment exact reste flou, mais cela remonterait à mars. Dupont, le frère aurait été directement concerné."
usage abusif d’un gyrophare,,2023,un médecin,"Une situation inhabituelle a attiré l’attention. Les faits datent de 2023, d'après certaines sources. La présence de un médecin est signalée sur les lieux."
odeur de solvants émanant d’un conduit obstrué,"183 chemin de la République, Carpentras",17 novembre,"une amie, le mari de Marie, un employé de mairie","Un fait divers a marqué les esprits. 183 chemin de la République, Carpentras serait le le point de départ de l'incident. On évoque 17 novembre comme repère temporel. une amie, le mari de Marie, un employé de mairie a été identifié comme partie prenante."
volet métallique bloqué en position semi-ouverte,la salle de bain,,"Sophie Picard, un avocat, un individu","Une effraction semble avoir été perpétrée. Le lieu de l’incident a été identifié comme la salle de bain. Des témoignages font état de Sophie Picard, un avocat, un individu."
émission d’un souffle chaud depuis une prise d’air,"impasse Victor Hugo, Louviers",07/2025,"Alice Adam, Maxime","Un événement troublant a eu lieu. C’est dans les environs de impasse Victor Hugo, Louviers que les faits se sont produits. 07/2025 correspondrait à la période des faits. Alice Adam, Maxime semble impliqué d’une manière ou d’une autre."
petite flamme visible à travers une ouverture,arc de triomphe régional,7,"quelqu’un, un garagiste, une voisine, un visiteur","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent arc de triomphe régional comme contexte géographique. Le déroulement aurait eu lieu à 7. La situation aurait impliqué quelqu’un, un garagiste, une voisine, un visiteur."
dégradation volontaire d’un véhicule,"58 avenue du Général Leclerc, Carpentras",31/07/2006,Chevalier,"Une disparition suspecte de biens a été signalée. Les informations pointent vers 58 avenue du Général Leclerc, Carpentras. Ce moment précis : 31/07/2006, revient souvent. Chevalier figure dans les rapports initiaux."
propos diffamatoires sur les réseaux sociaux,54227,2 décembre,,"Des mots durs ont fusé, choquant plusieurs personnes. Tout se serait déroulé autour de 54227. 2 décembre : c’est ce qu’indiquent plusieurs témoignages."
cliquetis intermittent entendu depuis un conduit,"50 boulevard des Tilleuls, Sens",,"le collègue de travail, un visiteur","Un événement troublant a eu lieu. La scène s’est produite à 50 boulevard des Tilleuls, Sens. le collègue de travail, un visiteur aurait été directement concerné."
arrêt inopiné d’un ascenseur,"169 chemin de la République, Millau",décembre,"le neveu, Hubert, un complice","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 169 chemin de la République, Millau. Les faits datent de décembre, d'après certaines sources. La présence de le neveu, Hubert, un complice est signalée sur les lieux."
coup de tête lors d’une altercation,Albi,8/02/2023,un menuisier,Un fait divers a marqué les esprits. Albi serait le le point de départ de l'incident. On évoque 8/02/2023 comme repère temporel. un menuisier a été identifié comme partie prenante.
grésillement rythmique détecté au plafond,Picardie,14 août de l’année 2022,,Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme Picardie. La période de 14 août de l’année 2022 est mentionnée.
blessure due à un meuble mal fixé,Centre-Val de Loire,19 juin de l’année 2025,"une infirmière, Lucas Lemoine","Un événement troublant a eu lieu. C’est dans les environs de Centre-Val de Loire que les faits se sont produits. 19 juin de l’année 2025 correspondrait à la période des faits. une infirmière, Lucas Lemoine semble impliqué d’une manière ou d’une autre."
haussement de ton entre clients,tour de l’horloge,16h12,"un ingénieur, un garagiste","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent tour de l’horloge comme contexte géographique. Le déroulement aurait eu lieu à 16h12. La situation aurait impliqué un ingénieur, un garagiste."
utilisation d’un badge volé,La Réunion,,,Une disparition suspecte de biens a été signalée. Les informations pointent vers La Réunion.
vol de carte bancaire,boulevard des Peupliers,,"un journaliste, le colocataire, Sophie","Une effraction semble avoir été perpétrée. Tout se serait déroulé autour de boulevard des Peupliers. Une implication possible de un journaliste, le colocataire, Sophie est évoquée."
intrusion armée dans un commerce,6399,22h39,"un garagiste, Pires, Gabriel","Un événement troublant a eu lieu. La scène s’est produite à 06399. Le moment exact reste flou, mais cela remonterait à 22h39. un garagiste, Pires, Gabriel aurait été directement concerné."
présence de tracts hostiles,esplanade des droits de l’homme,,"un garagiste, une voisine, un témoin, Pires","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de esplanade des droits de l’homme. La présence de un garagiste, une voisine, un témoin, Pires est signalée sur les lieux."
usage d’une arme blanche,la cave,,"un ingénieur, un inconnu, un jeune homme","Un signalement d’arme a été transmis aux autorités. la cave serait le le point de départ de l'incident. un ingénieur, un inconnu, un jeune homme a été identifié comme partie prenante."
chute d’un panneau de signalisation,une pièce fermée,,"un tiers, Maxime Fontaine, le neveu, le frère","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme une pièce fermée. Des témoignages font état de un tiers, Maxime Fontaine, le neveu, le frère."
incendie volontaire d’un conteneur,impasse des Frênes,,"un menuisier, un enseignant, Marchand, un témoin, le fiancé, un chauffeur de taxi","Des objets ont mystérieusement disparu. C’est dans les environs de impasse des Frênes que les faits se sont produits. un menuisier, un enseignant, Marchand, un témoin, le fiancé, un chauffeur de taxi semble impliqué d’une manière ou d’une autre."
échange d’invectives à l’arrêt de bus,"142 avenue de la Paix, Carpentras",vendredi 13 juin 2008,un médecin,"Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent 142 avenue de la Paix, Carpentras comme contexte géographique. Le déroulement aurait eu lieu à vendredi 13 juin 2008. La situation aurait impliqué un médecin."
usage d’une arme blanche,"47 impasse des Acacias, Mayenne",1h et 25 minutes,,"Un signalement d’arme a été transmis aux autorités. Les informations pointent vers 47 impasse des Acacias, Mayenne. Ce moment précis : 1h et 25 minutes, revient souvent."
ligne de craie fraîchement tracée au sol,centre culturel,,"Gabriel, un passant","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de centre culturel. Une implication possible de Gabriel, un passant est évoquée."
résonance anormale d’un objet suspendu,jardin public,12/2024,"une connaissance, Hugo, une voisine, Léa Lemoine","Un événement troublant a eu lieu. La scène s’est produite à jardin public. Le moment exact reste flou, mais cela remonterait à 12/2024. une connaissance, Hugo, une voisine, Léa Lemoine aurait été directement concerné."
menaces verbales en pleine rue,boulevard de l’Égalité,le matin,"un menuisier, le colocataire","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de boulevard de l’Égalité. Les faits datent de le matin, d'après certaines sources. La présence de un menuisier, le colocataire est signalée sur les lieux."
incompréhension suivie d’une altercation,Bas-Rhin,,"Hubert, Julien, un voisin, une voisine, une connaissance, la sœur","Un fait divers a marqué les esprits. Bas-Rhin serait le le point de départ de l'incident. Hubert, Julien, un voisin, une voisine, une connaissance, la sœur a été identifié comme partie prenante."
accrochage verbal au café du coin,"156 chemin Victor Hugo, Millau",,"Lucas Hubert, un agent immobilier, la sœur","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme 156 chemin Victor Hugo, Millau. Des témoignages font état de Lucas Hubert, un agent immobilier, la sœur."
usage abusif d’un gyrophare,"colonne commémorative, Saint-Paul",21,une femme,"Un événement troublant a eu lieu. C’est dans les environs de colonne commémorative, Saint-Paul que les faits se sont produits. 21 correspondrait à la période des faits. une femme semble impliqué d’une manière ou d’une autre."
petite flamme visible à travers une ouverture,fontaine aux lions,5/12/2002,Camille,Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent fontaine aux lions comme contexte géographique. Le déroulement aurait eu lieu à 5/12/2002. La situation aurait impliqué Camille.
étouffement temporaire avec aliment,"tour de l’horloge, Sarrebourg",13 février,une connaissance,"Quelqu’un a failli s’étouffer en prenant son repas. Les informations pointent vers tour de l’horloge, Sarrebourg. Ce moment précis : 13 février, revient souvent. une connaissance figure dans les rapports initiaux."
volet métallique bloqué en position semi-ouverte,Sarrebourg,,"le frère, un jeune homme","Une effraction semble avoir été perpétrée. Tout se serait déroulé autour de la Sarrebourg. Une implication possible de le frère, un jeune homme est évoquée."
prise à partie d’un passant,64471,19 juin de l’année 2025,"un garagiste, un employé de mairie, la cousine","Un événement troublant a eu lieu. La scène s’est produite à 64471. Le moment exact reste flou, mais cela remonterait à 19 juin de l’année 2025. un garagiste, un employé de mairie, la cousine aurait été directement concerné."
absence de réponse d’un bouton à pression,"57 chemin des Tilleuls, Annonay",02/2015,,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 57 chemin des Tilleuls, Annonay. Les faits datent de 02/2015, d'après certaines sources."
intrusion pendant une messe,8852,,"un suspect, une vieille dame","Un fait divers a marqué les esprits. 08852 serait le le point de départ de l'incident. un suspect, une vieille dame a été identifié comme partie prenante."
claquement de portière en pleine nuit,Auvergne-Rhône-Alpes,2023/12/23,un policier,Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme Auvergne-Rhône-Alpes. La période de 2023/12/23 est mentionnée. Des témoignages font état de un policier.
jet de liquide non identifié,chemin des Tilleuls,16h52,"Julien Girard, le frère, un tiers, un inconnu, une amie","Un événement troublant a eu lieu. C’est dans les environs de chemin des Tilleuls que les faits se sont produits. 16h52 correspondrait à la période des faits. Julien Girard, le frère, un tiers, un inconnu, une amie semble impliqué d’une manière ou d’une autre."
récrimination insistante lors d’un paiement,33847,,"le collègue de travail, Noël, Julien, une juge, un voisin, un journaliste, Marchand, une amie","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent 33847 comme contexte géographique. La situation aurait impliqué le collègue de travail, Noël, Julien, une juge, un voisin, un journaliste, Marchand, une amie."
vol de colis dans un hall d’immeuble,"2 rue des Lilas, Morlaix",2 janvier de l’année 2015,un employé de mairie,"Une disparition suspecte de biens a été signalée. Les informations pointent vers 2 rue des Lilas, Morlaix. Ce moment précis : 2 janvier de l’année 2015, revient souvent. un employé de mairie figure dans les rapports initiaux."
invasion d’un stade sans autorisation,Hauts-de-France,lundi 11 août 2003,"Emma Moreau, un inconnu, Sophie Picard","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de la Hauts-de-France. lundi 11 août 2003 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de Emma Moreau, un inconnu, Sophie Picard est évoquée."
activation d’un détecteur de mouvement sans présence visible,33495,13 mai 2010,"Thomas, Moreau, Chevalier, Antoine","Un événement troublant a eu lieu. La scène s’est produite à 33495. Le moment exact reste flou, mais cela remonterait à 13 mai 2010. Thomas, Moreau, Chevalier, Antoine aurait été directement concerné."
résonance anormale d’un objet suspendu,"189 boulevard du Général Leclerc, Vierzon",,,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 189 boulevard du Général Leclerc, Vierzon."
utilisation de projectiles incendiaires,"111 avenue du Général Leclerc, Briançon",19 juin de l’année 2025,,"Un fait divers a marqué les esprits. 111 avenue du Général Leclerc, Briançon serait le le point de départ de l'incident. On évoque 19 juin de l’année 2025 comme repère temporel."
vol de carte bancaire,"109 chemin de la Paix, Louviers",16 août de l’année 2025,"une vieille dame, une voisine, une personne, Paul, un policier, un ami","Une effraction semble avoir été perpétrée. Le lieu de l’incident a été identifié comme 109 chemin de la Paix, Louviers. La période de 16 août de l’année 2025 est mentionnée. Des témoignages font état de une vieille dame, une voisine, une personne, Paul, un policier, un ami."
dépôt blanchâtre au pied d’un mur,centre culturel,9 septembre,"une technicienne, la sœur, un employé de mairie","Un événement troublant a eu lieu. C’est dans les environs de centre culturel que les faits se sont produits. 9 septembre correspondrait à la période des faits. une technicienne, la sœur, un employé de mairie semble impliqué d’une manière ou d’une autre."
vol de colis dans un hall d’immeuble,11646,17 novembre de l’année 2023,"un plombier, une voisine, un tiers, une vieille dame, un plombier, un inconnu","Un acte de vol a été commis discrètement. Plusieurs sources mentionnent 11646 comme contexte géographique. Le déroulement aurait eu lieu à 17 novembre de l’année 2023. La situation aurait impliqué un plombier, une voisine, un tiers, une vieille dame, un plombier, un inconnu."
renversement d’un cycliste par un véhicule,jardin public,,une boulangère,Un fait divers a marqué les esprits. Les informations pointent vers jardin public. une boulangère figure dans les rapports initiaux.
jet de liquide non identifié,22581,,Chevalier,Un incident non élucidé a été rapporté. Tout se serait déroulé autour de 22581. Une implication possible de Chevalier est évoquée.
carambolage sur route,"26 boulevard du Général Leclerc, Millau",,,"Un événement troublant a eu lieu. La scène s’est produite à 26 boulevard du Général Leclerc, Millau."
rupture d'une canalisation,"53 boulevard de la Liberté, Millau",2 septembre 2022,"le colocataire, une pharmacienne","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 53 boulevard de la Liberté, Millau. Les faits datent de 2 septembre 2022, d'après certaines sources. La présence de le colocataire, une pharmacienne est signalée sur les lieux."
appel malveillant au service d’urgence,parc municipal,6,,Un fait divers a marqué les esprits. parc municipal serait le le point de départ de l'incident. On évoque 6 comme repère temporel.
présence d’un objet scellé avec du ruban adhésif noir,"91 impasse Gambetta, Chinon",14 août de l’année 2022,"Maxime Adam, une femme, le colocataire","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme 91 impasse Gambetta, Chinon. La période de 14 août de l’année 2022 est mentionnée. Des témoignages font état de Maxime Adam, une femme, le colocataire."
condensation sur une vitre en pleine chaleur,"gare routière, Ussel",11,,"Un événement troublant a eu lieu. C’est dans les environs de gare routière, Ussel que les faits se sont produits. 11 correspondrait à la période des faits."
câble entortillé sans source d’énergie,esplanade des droits de l’homme,,"un facteur, Lemoine","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent esplanade des droits de l’homme comme contexte géographique. La situation aurait impliqué un facteur, Lemoine."
vente illicite de médicaments,Occitanie,le 16/09/2019 à 05h26,,"Un fait divers a marqué les esprits. Les informations pointent vers Occitanie. Ce moment précis : le 16/09/2019 à 05h26, revient souvent."
effet de vibration localisée sur une dalle,abbaye Saint-Pierre,vendredi 13 juin 2008,un notaire,Un incident non élucidé a été rapporté. Tout se serait déroulé autour de abbaye Saint-Pierre. vendredi 13 juin 2008 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de un notaire est évoquée.
odeur de solvants émanant d’un conduit obstrué,boulevard des Sources,12h11,le neveu,"Un événement troublant a eu lieu. La scène s’est produite à boulevard des Sources. Le moment exact reste flou, mais cela remonterait à 12h11. le neveu aurait été directement concerné."
cris entendus depuis un appartement,95454,dans la nuit,"Gauthier, un facteur, le fiancé, une vieille dame, le fiancé, un journaliste","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 95454. Les faits datent de dans la nuit, d'après certaines sources. La présence de Gauthier, un facteur, le fiancé, une vieille dame, le fiancé, un journaliste est signalée sur les lieux."
jets de bouteilles en verre,parc municipal,18 décembre,"le collègue de travail, un médecin, le collègue de travail, un agent immobilier, un jeune homme, le neveu, un tiers, quelqu’un","Un fait divers a marqué les esprits. parc municipal serait le le point de départ de l'incident. On évoque 18 décembre comme repère temporel. le collègue de travail, un médecin, le collègue de travail, un agent immobilier, un jeune homme, le neveu, un tiers, quelqu’un a été identifié comme partie prenante."
fréquentation nocturne inhabituelle,41970,au crépuscule,"un individu, une amie, un client","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme 41970. La période de au crépuscule est mentionnée. Des témoignages font état de un individu, une amie, un client."
blessure à la tête dans un local exigu,"199 chemin Victor Hugo, Lourdes",mars 2003,un complice,"Un événement troublant a eu lieu. C’est dans les environs de 199 chemin Victor Hugo, Lourdes que les faits se sont produits. mars 2003 correspondrait à la période des faits. un complice semble impliqué d’une manière ou d’une autre."
altercation verbale dans un hall d’immeuble,"square du souvenir, Vire",22h39,"un chauffeur de taxi, une amie, un individu, Nina Chevalier","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent square du souvenir, Vire comme contexte géographique. Le déroulement aurait eu lieu à 22h39. La situation aurait impliqué un chauffeur de taxi, une amie, un individu, Nina Chevalier."
vol à l’arraché,"73 chemin des Peupliers, Pontarlier",10 décembre,"une pharmacienne, un ami","Une disparition suspecte de biens a été signalée. Les informations pointent vers 73 chemin des Peupliers, Pontarlier. Ce moment précis : 10 décembre, revient souvent. une pharmacienne, un ami figure dans les rapports initiaux."
fuite de gaz,avenue des Frênes,04/2009,"une infirmière, un voisin, Emma Lemoine","Un départ précipité a été observé. Tout se serait déroulé autour de avenue des Frênes. 04/2009 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de une infirmière, un voisin, Emma Lemoine est évoquée."
